DATES,OPEN,ADJ_CLOSE
2013-06-24,194,193
2013-06-25,180,193
2013-06-26,,
2013-06-27,192,193
2013-07-02,,
2013-07-03,,
2013-07-05,,
2013-07-08,190,190
2013-07-09,190,190
2013-07-10,190,187
2013-07-11,189,190
2013-07-12,,
2013-07-15,190,190
2013-07-16,189,189
2013-07-17,185,195
2013-07-18,190,190
2013-07-19,,
2013-07-22,185,190
2013-07-23,,
2013-07-24,185,190
2013-07-25,185,190
2013-07-26,,
2013-07-29,190,190
2013-07-30,185,185
2013-07-31,185,185
2013-08-01,185,185
2013-08-02,187,189
2013-08-05,188,189
2013-08-06,185,185
2013-08-07,188,188
2013-08-09,186,185
2013-08-12,185,185
2013-08-13,183,183
2013-08-14,183,183
2013-08-16,,
2013-08-19,,
2013-08-20,,
2013-08-22,180,185
2013-08-23,181,184
2013-08-26,,
2013-08-27,,
2013-08-28,,
2013-08-29,,
2013-08-30,180,184
2013-09-02,,
2013-09-03,180,185
2013-09-04,181,184
2013-09-05,181,183
2013-09-06,181,181
2013-09-09,181,181
2013-09-10,181,181
2013-09-12,,
2013-09-13,180,180
2013-09-17,,
2013-09-18,170,180
2013-09-19,,
2013-09-20,170,180
2013-09-23,175,180
2013-09-24,180,180
2013-09-26,177,177
2013-09-27,177,179
2013-10-01,178,180
2013-10-02,179,179
2013-10-03,179,180
2013-10-04,180,180
2013-10-07,180,180
2013-10-08,180,180
2013-10-09,,
2013-10-10,180,180
2013-10-14,180,180
2013-10-15,180,180
2013-10-16,180,180
2013-10-17,181,181
2013-10-18,180,185
2013-10-22,182,190
2013-10-23,190,190
2013-10-24,195,195
2013-10-25,192,195
2013-10-28,192,192
2013-10-29,192,192
2013-10-30,192,194
2013-10-31,192,195
2013-11-01,,
2013-11-04,195,200
2013-11-05,200,200
2013-11-06,198,200
2013-11-07,200,200
2013-11-11,194,200
2013-11-12,192,217
2013-11-13,200,230
2013-11-14,217,235
2013-11-15,229,235
2013-11-19,230,246
2013-11-20,250,250
2013-11-21,230,250
2013-11-22,,
2013-11-25,250,250
2013-11-26,,
2013-11-27,230,250
2013-11-28,,
2013-11-29,249,249
2013-12-03,246,246
2013-12-04,,
2013-12-05,241,240
2013-12-06,245,245
2013-12-09,,
2013-12-11,246,246
2013-12-13,243,244
2013-12-16,,
2013-12-17,239,244
2013-12-18,234,239
2013-12-19,234,240
2013-12-20,249,245
2013-12-23,237,244
2013-12-24,243,243
2013-12-27,243,245
2013-12-30,243,243
2013-12-31,243,240
2014-01-03,240,240
2014-01-06,245,246
2014-01-07,245,245
2014-01-08,246,245
2014-01-09,245,245
2014-01-10,241,245
2014-01-13,245,245
2014-01-14,245,245
2014-01-15,245,245
2014-01-16,246,250
2014-01-17,245,250
2014-01-20,249,245
2014-01-21,245,245
2014-01-22,245,245
2014-01-23,245,250
2014-01-24,,
2014-01-27,245,250
2014-01-28,245,255
2014-01-29,,
2014-01-30,248,250
2014-01-31,245,255
2014-02-03,250,270
2014-02-04,,
2014-02-05,255,275
2014-02-06,255,275
2014-02-10,255,275
2014-02-11,260,280
2014-02-12,,
2014-02-13,264,285
2014-02-14,265,275
2014-02-17,270,275
2014-02-18,270,270
2014-02-19,265,275
2014-02-20,270,298
2014-02-21,303,303
2014-02-24,280,310
2014-02-25,300,320
2014-02-26,301,320
2014-02-27,320,321
2014-02-28,,
2014-03-03,320,323
2014-03-04,321,330
2014-03-05,330,332
2014-03-06,332,332
2014-03-07,300,332
2014-03-10,334,333
2014-03-11,332,332
2014-03-12,333,330
2014-03-13,325,332
2014-03-14,332,332
2014-03-17,330,330
2014-03-18,325,332
2014-03-19,330,330
2014-03-20,330,332
2014-03-21,330,330
2014-03-24,330,330
2014-03-25,325,330
2014-03-26,330,330
2014-03-27,329,330
2014-03-28,330,329
2014-03-31,327,327
2014-04-01,329,329
2014-04-02,330,340
2014-04-03,330,340
2014-04-04,330,345
2014-04-08,330,350
2014-04-09,345,361
2014-04-10,346,365
2014-04-11,350,350
2014-04-14,345,344
2014-04-15,345,345
2014-04-16,340,340
2014-04-17,,
2014-04-22,335,330
2014-04-24,327,327
2014-04-25,325,327
2014-04-28,328,328
2014-04-29,325,327
2014-04-30,325,326
2014-05-02,,
2014-05-05,326,324
2014-05-06,319,320
2014-05-07,319,319
2014-05-08,319,319
2014-05-09,318,318
2014-05-12,317,317
2014-05-13,,
2014-05-14,,
2014-05-15,315,316
2014-05-16,315,316
2014-05-19,,
2014-05-20,,
2014-05-21,310,316
2014-05-23,310,315
2014-05-28,311,314
2014-05-29,310,312
2014-05-30,308,309
2014-06-02,309,308
2014-06-03,309,309
2014-06-04,,
2014-06-05,307,306
2014-06-06,307,307
2014-06-09,307,307
2014-06-10,306,305
2014-06-11,305,310
2014-06-12,305,305
2014-06-13,304,305
2014-06-16,305,305
2014-06-17,295,304
2014-06-18,,
2014-06-19,,
2014-06-20,300,300
2014-06-23,298,298
2014-06-24,299,299
2014-06-25,,
2014-06-26,293,299
2014-06-27,,
2014-06-30,292,294
2014-07-02,295,293
2014-07-03,293,293
2014-07-07,293,293
2014-07-08,293,293
2014-07-09,293,293
2014-07-10,,
2014-07-11,,
2014-07-15,293,293
2014-07-16,293,293
2014-07-17,293,293
2014-07-18,292,292
2014-07-21,,
2014-07-22,,
2014-07-23,,
2014-07-24,289,290
2014-07-25,290,290
2014-07-29,,
2014-07-30,289,289
2014-07-31,288,289
2014-08-01,285,285
2014-08-04,,
2014-08-05,284,286
2014-08-06,280,285
2014-08-07,,
2014-08-08,279,275
2014-08-11,280,285
2014-08-12,270,265
2014-08-13,264,256
2014-08-14,,
2014-08-18,254,250
2014-08-19,250,250
2014-08-20,,
2014-08-21,250,250
2014-08-22,250,255
2014-08-26,250,250
2014-08-27,255,255
2014-08-28,250,250
2014-08-29,250,260
2014-09-01,260,260
2014-09-02,251,260
2014-09-03,260,260
2014-09-04,260,265
2014-09-05,261,265
2014-09-08,267,267
2014-09-09,270,270
2014-09-10,270,270
2014-09-11,270,274
2014-09-12,272,275
2014-09-15,265,275
2014-09-16,270,275
2014-09-17,274,274
2014-09-18,275,283
2014-09-22,,
2014-09-23,275,275
2014-09-24,280,290
2014-09-25,290,300
2014-09-26,296,300
2014-09-29,296,300
2014-09-30,299,310
2014-10-01,305,310
2014-10-02,310,315
2014-10-03,310,319
2014-10-06,310,310
2014-10-07,310,310
2014-10-08,302,309
2014-10-09,309,284
2014-10-10,310,310
2014-10-13,260,310
2014-10-14,,
2014-10-15,304,305
2014-10-16,304,305
2014-10-17,,
2014-10-22,300,300
2014-10-23,,
2014-10-24,298,300
2014-10-27,300,300
2014-10-28,299,299
2014-10-29,280,297
2014-10-30,299,299
2014-10-31,297,296
2014-11-03,298,298
2014-11-04,300,300
2014-11-05,298,298
2014-11-06,,
2014-11-07,295,295
2014-11-10,296,295
2014-11-11,295,295
2014-11-12,283,290
2014-11-13,289,289
2014-11-14,289,289
2014-11-17,,
2014-11-18,288,285
2014-11-19,309,309
2014-11-20,286,300
2014-11-21,294,294
2014-11-24,284,294
2014-11-25,294,295
2014-11-26,290,290
2014-11-27,287,290
2014-11-28,285,290
2014-12-03,295,292
2014-12-04,290,293
2014-12-05,290,290
2014-12-08,281,281
2014-12-09,290,294
2014-12-10,290,285
2014-12-11,286,289
2014-12-12,289,289
2014-12-15,290,289
2014-12-18,290,290
2014-12-19,290,290
2014-12-22,290,290
2014-12-23,290,290
2014-12-24,290,286
2014-12-29,295,295
2014-12-30,296,300
2015-01-02,300,300
2015-01-05,300,300
2015-01-06,295,295
2015-01-07,295,300
2015-01-08,290,290
2015-01-09,286,295
2015-01-12,290,299
2015-01-13,290,299
2015-01-14,294,299
2015-01-15,286,296
2015-01-16,298,290
2015-01-19,285,285
2015-01-20,293,293
2015-01-21,285,293
2015-01-22,,
2015-01-23,,
2015-01-26,290,296
2015-01-27,,
2015-01-28,293,295
2015-01-30,285,293
2015-02-04,290,290
2015-02-05,290,290
2015-02-06,290,290
2015-02-09,290,295
2015-02-10,,
2015-02-12,295,295
2015-02-13,294,295
2015-02-17,294,294
2015-02-18,290,294
2015-02-19,,
2015-02-20,294,295
2015-02-23,296,296
2015-02-24,296,297
2015-02-25,296,296
2015-02-26,296,296
2015-02-27,296,296
2015-03-02,296,296
2015-03-03,290,296
2015-03-05,296,296
2015-03-06,296,296
2015-03-09,296,296
2015-03-10,296,296
2015-03-11,294,296
2015-03-13,,
2015-03-16,296,296
2015-03-17,296,296
2015-03-18,290,296
2015-03-20,295,290
2015-03-23,295,295
2015-03-24,289,295
2015-03-25,295,296
2015-03-26,296,296
2015-03-27,296,296
2015-03-30,295,296
2015-03-31,295,296
2015-04-02,294,296
2015-04-06,290,295
2015-04-08,295,295
2015-04-09,295,295
2015-04-13,296,296
2015-04-14,,
2015-04-16,,
2015-04-17,,
2015-04-22,296,295
2015-04-23,296,296
2015-04-24,,
2015-04-28,295,295
2015-04-30,,
2015-05-04,290,295
2015-05-05,294,295
2015-05-06,290,295
2015-05-07,295,295
2015-05-08,295,295
2015-05-11,295,295
2015-05-12,295,295
2015-05-13,290,295
2015-05-14,290,295
2015-05-15,290,290
2015-05-19,290,290
2015-05-20,,
2015-05-22,,
2015-05-26,290,290
2015-05-28,290,289
2015-06-03,280,280
2015-06-04,280,280
2015-06-05,280,280
2015-06-08,280,280
2015-06-09,280,280
2015-06-10,290,290
2015-06-11,290,290
2015-06-12,280,295
2015-06-16,,
2015-06-18,,
2015-06-23,280,285
2015-06-24,285,290
2015-06-25,285,290
2015-06-29,290,289
2015-06-30,289,289
2015-07-03,289,280
2015-07-07,280,284
2015-07-08,284,282
2015-07-09,282,285
2015-07-10,285,285
2015-07-13,285,290
2015-07-14,290,290
2015-07-15,290,290
2015-07-16,290,290
2015-07-21,290,285
2015-07-23,285,280
2015-07-24,280,280
2015-07-27,280,280
2015-07-28,280,280
2015-07-29,280,260
2015-07-30,260,280
2015-07-31,280,280
2015-08-03,280,280
2015-08-04,280,290
2015-08-05,290,290
2015-08-10,290,285
2015-08-12,285,290
2015-08-13,,
2015-08-14,290,290
2015-08-20,290,280
2015-08-21,280,285
2015-08-25,285,290
2015-08-26,290,280
2015-08-27,280,280
2015-08-28,280,290
2015-09-01,290,285
2015-09-02,285,280
2015-09-03,280,280
2015-09-07,280,280
2015-09-09,280,280
2015-09-10,280,280
2015-09-11,280,280
2015-09-14,280,280
2015-09-15,280,280
2015-09-17,280,280
2015-09-18,280,280
2015-09-22,280,280
2015-09-23,280,280
2015-09-25,280,280
2015-09-29,,
2015-09-30,280,280
2015-10-01,280,280
2015-10-05,280,280
2015-10-06,,
2015-10-07,280,280
2015-10-09,280,280
2015-10-12,280,280
2015-10-14,280,280
2015-10-15,280,280
2015-10-16,280,280
2015-10-21,280,280
2015-10-26,280,280
2015-10-29,280,280
2015-10-30,,
2015-11-02,280,280
2015-11-03,280,279
2015-11-04,279,277
